anio,mesnom,mes,Importaciones,Exportaciones
1993,ENERO,1,139625000,373092000
1993,FEBRERO,2,154686000,539540000
1993,MARZO,3,168154000,496922000
1993,ABRIL,4,139357000,578736000
1993,MAYO,5,143748000,578004000
1993,JUNIO,6,181682000,733936000
1993,JULIO,7,168405000,532850000
1993,AGOSTO,8,161985000,490368000
1993,SEPTIEMBRE,9,158902000,670754000
1993,OCTUBRE,10,187864000,725918000
1993,NOVIEMBRE,11,147836000,677894000
1993,DICIEMBRE,12,176275000,652776000
1994,ENERO,1,230265000,582403000
1994,FEBRERO,2,236605000,560028000
1994,MARZO,3,306000000,745728000
1994,ABRIL,4,288117000,653468000
1994,MAYO,5,337700000,739960000
1994,JUNIO,6,282523000,757666000
1994,JULIO,7,245142000,639203000
1994,AGOSTO,8,235848000,675635000
1994,SEPTIEMBRE,9,282132000,696340000
1994,OCTUBRE,10,291062000,656191000
1994,NOVIEMBRE,11,282987000,971282000
1994,DICIEMBRE,12,292174000,730029000
1995,ENERO,1,228282000,993382000
1995,FEBRERO,2,217807000,901185000
1995,MARZO,3,226091000,975263000
1995,ABRIL,4,136379000,822908000
1995,MAYO,5,152441000,1083387000
1995,JUNIO,6,137801000,1010298000
1995,JULIO,7,335605000,882611000
1995,AGOSTO,8,410583000,938414000
1995,SEPTIEMBRE,9,415678000,1077443000
1995,OCTUBRE,10,543862000,1268698000
1995,NOVIEMBRE,11,478476000,1151829000
1995,DICIEMBRE,12,577845000,1117324000
1996,ENERO,1,586445000,1357432000
1996,FEBRERO,2,650027000,1293958000
1996,MARZO,3,601515000,1339034000
1996,ABRIL,4,551236000,1333698000
1996,MAYO,5,615621000,1405070000
1996,JUNIO,6,481689000,1317220000
1996,JULIO,7,537540000,1358425000
1996,AGOSTO,8,526096000,1310608000
1996,SEPTIEMBRE,9,569763000,1422221000
1996,OCTUBRE,10,683744000,1532323000
1996,NOVIEMBRE,11,635372000,1385082000
1996,DICIEMBRE,12,600618000,1495455000
1997,ENERO,1,609364000,1433382000
1997,FEBRERO,2,595388000,1180937000
1997,MARZO,3,746192000,1445676000
1997,ABRIL,4,497675000,1336626000
1997,MAYO,5,636083000,1403827000
1997,JUNIO,6,798587000,1527965000
1997,JULIO,7,743048000,1479969000
1997,AGOSTO,8,815029000,1307804000
1997,SEPTIEMBRE,9,934975000,1445122000
1997,OCTUBRE,10,903919000,1870936000
1997,NOVIEMBRE,11,1009587000,1596176000
1997,DICIEMBRE,12,908851000,1786635000
1998,ENERO,1,843244000,1479164000
1998,FEBRERO,2,812851000,1388190000
1998,MARZO,3,982128000,1631216000
1998,ABRIL,4,865446000,1757632000
1998,MAYO,5,856623000,1627056000
1998,JUNIO,6,891078000,1759994000
1998,JULIO,7,670535000,1165921000
1998,AGOSTO,8,755806000,1345156000
1998,SEPTIEMBRE,9,780725000,1740951000
