id,tipo,anio,mesnom,mes,valor
1,Importaciones,1993,ENERO,1,139625000
1,Importaciones,1993,FEBRERO,2,154686000
1,Importaciones,1993,MARZO,3,168154000
1,Importaciones,1993,ABRIL,4,139357000
1,Importaciones,1993,MAYO,5,143748000
1,Importaciones,1993,JUNIO,6,181682000
1,Importaciones,1993,JULIO,7,168405000
1,Importaciones,1993,AGOSTO,8,161985000
1,Importaciones,1993,SEPTIEMBRE,9,158902000
1,Importaciones,1993,OCTUBRE,10,187864000
1,Importaciones,1993,NOVIEMBRE,11,147836000
1,Importaciones,1993,DICIEMBRE,12,176275000
1,Importaciones,1994,ENERO,1,230265000
1,Importaciones,1994,FEBRERO,2,236605000
1,Importaciones,1994,MARZO,3,306000000
1,Importaciones,1994,ABRIL,4,288117000
1,Importaciones,1994,MAYO,5,337700000
1,Importaciones,1994,JUNIO,6,282523000
1,Importaciones,1994,JULIO,7,245142000
1,Importaciones,1994,AGOSTO,8,235848000
1,Importaciones,1994,SEPTIEMBRE,9,282132000
1,Importaciones,1994,OCTUBRE,10,291062000
1,Importaciones,1994,NOVIEMBRE,11,282987000
1,Importaciones,1994,DICIEMBRE,12,292174000
1,Importaciones,1995,ENERO,1,228282000
1,Importaciones,1995,FEBRERO,2,217807000
1,Importaciones,1995,MARZO,3,226091000
1,Importaciones,1995,ABRIL,4,136379000
1,Importaciones,1995,MAYO,5,152441000
1,Importaciones,1995,JUNIO,6,137801000
1,Importaciones,1995,JULIO,7,335605000
1,Importaciones,1995,AGOSTO,8,410583000
1,Importaciones,1995,SEPTIEMBRE,9,415678000
1,Importaciones,1995,OCTUBRE,10,543862000
1,Importaciones,1995,NOVIEMBRE,11,478476000
1,Importaciones,1995,DICIEMBRE,12,577845000
1,Importaciones,1996,ENERO,1,586445000
1,Importaciones,1996,FEBRERO,2,650027000
1,Importaciones,1996,MARZO,3,601515000
1,Importaciones,1996,ABRIL,4,551236000
1,Importaciones,1996,MAYO,5,615621000
1,Importaciones,1996,JUNIO,6,481689000
1,Importaciones,1996,JULIO,7,537540000
1,Importaciones,1996,AGOSTO,8,526096000
1,Importaciones,1996,SEPTIEMBRE,9,569763000
1,Importaciones,1996,OCTUBRE,10,683744000
1,Importaciones,1996,NOVIEMBRE,11,635372000
1,Importaciones,1996,DICIEMBRE,12,600618000
1,Importaciones,1997,ENERO,1,609364000
1,Importaciones,1997,FEBRERO,2,595388000
1,Importaciones,1997,MARZO,3,746192000
1,Importaciones,1997,ABRIL,4,497675000
1,Importaciones,1997,MAYO,5,636083000
1,Importaciones,1997,JUNIO,6,798587000
1,Importaciones,1997,JULIO,7,743048000
1,Importaciones,1997,AGOSTO,8,815029000
1,Importaciones,1997,SEPTIEMBRE,9,934975000
1,Importaciones,1997,OCTUBRE,10,903919000
1,Importaciones,1997,NOVIEMBRE,11,1009587000
1,Importaciones,1997,DICIEMBRE,12,908851000
1,Importaciones,1998,ENERO,1,843244000
1,Importaciones,1998,FEBRERO,2,812851000
1,Importaciones,1998,MARZO,3,982128000
1,Importaciones,1998,ABRIL,4,865446000
1,Importaciones,1998,MAYO,5,856623000
1,Importaciones,1998,JUNIO,6,891078000
1,Importaciones,1998,JULIO,7,670535000
1,Importaciones,1998,AGOSTO,8,755806000
1,Importaciones,1998,SEPTIEMBRE,9,780725000
1,Importaciones,1998,OCTUBRE,10,879192000
